run_id,provider,level,file_type,file_size,repetition,is_warmup,input_bytes,output_bytes,compression_ratio,wall_time_s,energy_joules,energy_per_mb,rapl_overflow
75,zstd,fast,csv,small,2,True,10485765,2235879,0.2132,0.663761,0.8579,0.0858,False
76,gzip,fast,text,medium,2,True,104857627,26469188,0.2524,1.644258,9.995,0.0999,False
77,7zip,fast,csv,medium,2,True,104857653,21544093,0.2055,1.24214,13.5192,0.1352,False
78,7zip,default,csv,medium,2,True,104857653,16377621,0.1562,20.864672,196.4003,1.964,False
79,7zip,fast,text,large,2,True,524288030,96386606,0.1838,4.061809,67.9712,0.1359,False
80,zstd,default,pdf,large,2,True,640849579,509990233,0.7958,5.440746,46.3268,0.0758,False
81,7zip,fast,image,medium,2,True,104855286,61003461,0.5818,2.473207,36.2006,0.362,False
82,gzip,default,image,small,2,True,10487014,9233395,0.8805,1.035846,4.5989,0.4598,False
83,zstd,default,image,medium,2,True,104855286,92184716,0.8792,1.636685,10.6644,0.1066,False
84,7zip,default,text,small,2,True,10485805,1428321,0.1362,3.613837,28.1201,2.812,False
85,7zip,default,image,large,2,True,524305254,230374423,0.4394,19.538887,349.5422,0.6991,False
86,7zip,default,pdf,medium,2,True,128005509,90608210,0.7078,10.632373,118.8175,0.9733,False
87,zstd,default,image,small,2,True,10487014,9659926,0.9211,0.638418,1.2162,0.1216,False
88,7zip,default,pdf,small,2,True,12769358,9364459,0.7334,1.825122,13.5314,1.1112,False
89,7zip,default,image,medium,2,True,104855286,55792680,0.5321,9.833485,103.1897,1.0319,False
90,7zip,fast,csv,large,2,True,524288001,106283588,0.2027,3.832341,64.0764,0.1282,False
91,7zip,fast,csv,small,2,True,10485765,2183261,0.2082,0.670071,2.035,0.2035,False
92,gzip,fast,pdf,small,2,True,12769358,10513741,0.8234,0.855174,3.2509,0.267,False
93,zstd,fast,pdf,small,2,True,12769358,10512436,0.8233,0.629139,1.0465,0.0859,False
94,gzip,default,csv,small,2,True,10485765,2408844,0.2297,0.849351,3.2042,0.3204,False
95,7zip,fast,image,small,2,True,10487014,7221096,0.6886,0.815135,4.5497,0.4549,False
96,gzip,default,csv,medium,2,True,104857653,23459397,0.2237,4.249964,30.8648,0.3086,False
97,zstd,fast,pdf,medium,2,True,128005509,105000485,0.8203,1.03514,4.9736,0.0407,False
98,gzip,default,text,small,2,True,10485805,1936758,0.1847,0.822659,3.1753,0.3175,False
99,7zip,default,image,small,2,True,10487014,7047313,0.672,1.834278,12.1816,1.218,False
100,gzip,fast,csv,large,2,True,524288001,129999687,0.248,6.489934,49.6455,0.0993,False
101,7zip,fast,image,large,2,True,524305254,279173760,0.5325,9.642634,171.0631,0.3421,False
102,7zip,fast,pdf,medium,2,True,128005509,99880525,0.7803,2.807845,41.8343,0.3427,False
103,zstd,fast,image,medium,2,True,104855286,97381960,0.9287,0.823944,3.4641,0.0346,False
104,zstd,default,text,medium,2,True,104857627,21909457,0.2089,1.034013,5.1994,0.052,False
105,zstd,fast,text,large,2,True,524288030,110516839,0.2108,2.474293,17.6761,0.0354,False
106,gzip,default,image,large,2,True,524305254,377312321,0.7196,20.446035,167.2213,0.3344,False
107,gzip,fast,image,small,2,True,10487014,8386057,0.7997,0.866021,3.0911,0.3091,False
108,gzip,default,csv,large,2,True,524288001,115321798,0.22,18.677413,150.9353,0.3019,False
109,zstd,fast,pdf,large,2,True,640849579,525249837,0.8196,2.853466,22.3986,0.0366,False
110,7zip,default,text,medium,2,True,104857627,14248280,0.1359,24.286895,231.7187,2.3172,False
111,zstd,fast,image,large,2,True,524305254,486657296,0.9282,2.285947,16.7305,0.0335,False
112,zstd,fast,csv,medium,2,True,104857653,21438455,0.2045,0.871159,3.2574,0.0326,False
113,gzip,fast,image,medium,2,True,104855286,77544599,0.7395,4.07106,29.6786,0.2968,False
114,gzip,default,pdf,small,2,True,12769358,10474941,0.8203,1.029743,4.359,0.3579,False
115,gzip,default,pdf,medium,2,True,128005509,104237376,0.8143,5.031806,37.8171,0.3098,False
116,zstd,default,csv,large,2,True,524288001,110782340,0.2113,3.432496,26.0428,0.0521,False
117,7zip,default,pdf,large,2,True,640849579,451987513,0.7053,30.487505,473.8027,0.7752,False
118,zstd,default,text,large,2,True,524288030,109554649,0.209,3.076599,23.45,0.0469,False
119,gzip,default,text,medium,2,True,104857627,19352518,0.1846,4.066501,29.3547,0.2935,False
120,7zip,default,text,large,2,True,524288030,71234263,0.1359,36.045545,627.4691,1.2549,False
121,gzip,default,image,medium,2,True,104855286,84865059,0.8094,4.859304,37.2446,0.3725,False
122,zstd,default,image,large,2,True,524305254,455072678,0.868,6.022164,51.1184,0.1022,False
123,gzip,fast,csv,medium,2,True,104857653,26325008,0.2511,1.630037,9.979,0.0998,False
